title,website
Advanced Center Of Kidney & Urology,http://ackubd.com/
Bongo IT Institute,
IT Favour,
Cycas IT Limited,
Evertech IT LTD,https://evertechit.com/
Sntechhome it solution,
AMINA IT COM,
VPL IT,
Next Career IT,
DRMC IT Club,
Eutropia It Solution,https://www.eutropia-it.com/
Dimension IT & Software,
Invision IT,https://invisionitbd.com/
DoubleBit IT Solutions,http://doublebitbd.com/
Shake It,
ACME IT Limited | Corporate Office,
BANGLADESH IT-ENGINEERS EXAMINATION CENTER (),http://bditec.gov.bd/
Urgent IT Solutions,https://urgentitsolutions.com/
BORNOMALA IT LTD,http://bornomalait.com/
Alveena IT Solutions,
Susmita IT-SEO Agency,
Cha Ruti-চা রুটি,
Mr meraj,
Alam Tea Stall,
Cafe Express,
Tea Cafe,
Abc,
Sathi Tea Store,
Saiful Tea Stall,
Sub's hospital,
Medison Medical Services Limited,https://www.medisonbd.com/
Hypospadias Care Center,http://www.hypospadiascare.com/
Child Health Care,
Famous General Hospital,
Mary Orthopedic General Hospital and Diagnosis Center,
Shyamoli Baby Care & General Hospital,http://www.shyamolibabycarebd.com/
Health Weather,http://healthweatherbd.blogspot.com/
BRAC,
SAU Medical Center,http://www.sau.edu.bd/
Monira General Hospital,
BDM Hospital 5/17,
BSHL,
Sheba General Hospital & Diagnostic Center,
Al Markazul Islami Hospital,
amiodoctor,
Doctor's Care Hospital,
Al Biruni Hospital And Diagnostic Service,
Ashiq spelalista Hospital,
Cà LIONS GENERAL HOSPITAL & DIAGNOSTO CENTRE,
Fahim it company,https://itfreelancingcareer.blogspot.com/
Skill Build-IT,
EXPERT iT SYSTEM,
IT RAJJO,
Revelation It,
Zorg IT,https://www.zorgitgroup.com/
Golden ratio it ltd,http://www.goldenratioitltd.com/
Luthfi IT| Trusted Digital Marketing Agency,https://www.luthfiit.com/
SNS IT LIMITED,
Ayan Anas it Freelancing,https://evaafroznishi.blogspot.com/
Tanz IT,
Bub It Lab,
Zara IT Solution,http://www.zaraitsolution.com/
razib it institute,https://banglalike111.blogspot.com/
WINCRED IT,
Cnext IT,http://cnextit.com/
Afore IT Soution,
Adabor diabetes center,
Bangladesh Institute of Ophthalmology and Hospital বাংলাদেশ চক্ষু বিজ্ঞান ইনস্টিটিউট ও হাসপাতাল,
Apon Thikana,
NEW YORK AESTHETICS (USA Reg.),
Elite Medical Center,
Islam Diabetic and Doctors Corner,
Dr. Ataul Mujeeb Rashed,
Diyomed Heart Center,http://www.diyomedheart.com/
Micare Health Limited,https://micare.com.bd/
Vascular Surgery Department (Vascular Surgeons NICVD),https://www.nicvd.gov.bd/
Firoza Eye Hospital,
Directotate Of Nursing Services And Institute,
Al-Tasnim Medical Center,
Dr. Deen Islam Orthopedic Center,
Shanti niketon hospital,
সেইফ হাউজ মানসিক এন্ড মাদকাসক্ত নিরাময় কেন্দ্র,
Vetenary Teaching Hospit,
Best Aid,
Histo Bio Zone,
Brac Limb and Brace Fitting Center,
Quantumedge Software INC.-IT Solution & Technology,https://quantumedgesoftware.com/
It Computer,
It Career Bd,
A1 it institute,
D Digital IT,
Yolo IT,
Diabetic foot care products  Bangladesh,
Shebika General Hospital & Diagnostic Center,
Ideal Eye Care Centre Ltd,
Better Life Prosthetic & Orthotic Care Ltd.,
Bangladesh eye care,
ডাঃ শেখ মো আব্দুল্লাহ আল রাফি,
Maruf Homeo Hall,
Spine Physiotherapy & Rehabilitation Centre (SPTRC),http://www.sptrcbd.com/
Siam Medicine Corner,
Al - Falah Model Clinic,
দি কিওর ফিজিওথেরাপি এন্ড প্যারালাইসিস সেন্টার,
thalasemia society,
DocTime Limited,https://doctime.com.bd/
Dr. Ashraf - Surgical oncologist,
Bangladesh Institute of aged,
Emerge Ever gar care Ltd,
এডভান্সড ডিজিটাল ডায়াগনস্টিক সেন্টার,
BDN Pallabi Diabetes Center,
Shamolima,
Hearing Care Centre,https://hearingcarecenter.com.bd/
FAIR LAB LIMITED,
Sun Smiling Clinic,
Hijama Chamber Mohammadpur হিজামা ঢাকা,
UPHCSDP(PA2) NOGOR MATRI SODHON CRHCC,
NURJAHAN EYE CARE,
SENIOR CONSULTANT DR MD SAHIDUR RAHMAN KHAN,
Al Kemy Medical Center,
Plasma Medical Services And Medical Center,
Dr.Md.Sahidur Rahman Khan (Senior Consultant  Department of Orthopaedic & Trauma Surgery),
Asrafi pharmacy,
Afiat Medical Center,
Bismillah pharmacy,
Al fala medical,
NALTA HOSPITAL & COMMUNITY HEALTH FOUNDATION,http://naltahospital.org.bd/
Bangladesh Spine Society (BSS) | Dhaka  Bangladesh,https://bangladeshspinesociety.org/
Colorectal & Pelvic Floor Center  DCIMCH,
IFIC Bank Mohammadpur Branch,
Dutch Bangla Bank Limited। Sub Brunch,
Southeast Bank Limited,
Uttara Bank PLC | Shyamoli Branch,
Bank Asia Limited,http://www.bankasia-bd.com/
National Credit & Commerce Bank Limited,https://www.nccbank.com.bd/
AB Bank Limited,http://abbl.com/
Mercantile Bank Limited,
Dutch-Bangla Bank Limited (DBBL) - Shyamoli Branch,
The City Bank PLC,https://www.thecitybank.com/
City Bank ATM - Shyamoli Branch,https://www.thecitybank.com/home
Bangladesh Krishi Bank,http://www.krishibank.org.bd/
Bank Asia Limited,http://www.bankasia-bd.com/
Eastern Bank PLC.,http://www.ebl.com.bd/
Shahajalal Islami Bank,
Islami Bank Bangladesh Limited,
Brac Bank Limited | Shyamoli Branch,
Exim Bank Limited,http://www.eximbankbd.com/
Prime Bank Limited,
Premier Bank Limited,
The World Bank,http://www.worldbank.org/en/country/bangladesh
Southeast Bank Limited,https://www.southeastbank.com.bd/
Dutch-Bangla Bank Limited (DBBL)-Fast Track,
Dutch-Bangla Bank | Fast Track,
Eastern Bank Limited (EBL),
1 to 100 Plus Market,
Tecno Flagship Store (Official),
Click Shop,https://www.facebook.com/clicksshops
Shapla super shop 2,
Mini Bazar Multi Shop,
আল হেরা সপ Al-Hera shop,
Bagerhat Shop,
Shopping Zone BD,http://shoppingzonebd.com.bd/
Arina Baby shop,
Rodeo Accessories Shop,https://rodeobd.com/
Liza grocery store,
Asian Sky Shop BD Ltd,
Black & White Online Shop,https://www.facebook.com/BlackandWhiteOnlineShopBD/
Ayesha The Super Shop,
a2z Bike Shop,https://www.a2zbike.com/
Novera Gift Shop,
Mydeshbazar,
Nogodbazar,
Shop No: 263  Level #02  Shaymoli Square Shopping Mall  Dhaka  Bangladesh,
Gulu's shop,
Dutch-bangla Bank Limited Agent Banking,https://www.dutchbanglabank.com/
Al-Arafah Islami Bank Limited  Shyamoli Branch ATM,
Dutch-Bangla Bank Limited। Fast Track,https://www.dutchbanglabank.com/electronic-banking/fast-track.html
Islami Bank Bangladesh Limited | Shyamoli Branch,
NRBC Bank Shyamoli Branch এনআরবিসি ব্যাংক শ্যামলী শাখা,
Global Islami Bank। Shyamoli Brunch,
Pubali Bank Ring Road Branch,http://www.pubalibangla.com/
Standard Bank Limited,http://www.standardbankbd.com/
Dutch-Bangla Bank Limited | Fast Track,
SIBL Adabor Sub Branch,
ATM-Islami Bank Bangladesh Limited,
Bangladesh Krishi Bank | Shyamoli Branch,http://www.krishibank.org.bd/
EBL 365,
Eastern Bank Limited (EBL),http://www.ebl.com.bd/
BASIC Bank Limited,http://www.basicbanklimited.com/
Prime Bank Limited | ATM,
Rupali bank PLC | Adabor Branch,
Aquadeck at InterContinental Dhaka,http://www.intercontinental.com/dhaka
Bengal Dine Restaurant,
Southern Claw,https://www.facebook.com/p/Southern-Claw-100086465254865/
The Roadside Eatery,
SK Food Box,
Xian Restaurant,https://www.x-grouprestaurant.com/
Tong Ghor Dhaka University,
Ramna Restaurant & Kabab,
Sea Wagon Bailey Road,
The Amber Room at InterContinental Dhaka,http://www.intercontinental.com/dhaka
Food Court  Faculty of Business Studies,http://www.univdhaka.edu/
Amzad Restaurant,
Bagicha Thai and Chinese Restaurant,
Sotej hotel and restaurant,
Jolpai Restaurant & Party Center,
Shadhin Restaurant,
Roshui Food and caterer,
Chittagong Restaurant,
Waterfall Restaurant & Convention Hall,
The Glorious Restaurant & Party Center - Kataban,
Labaid Hospital,http://www.labaidgroup.com/
SUO Health care,http://suoxi-diagnosticlab.com/
Bumrungrad Hospital Dhaka Office,https://discoverims.com/
Ibrahim General Hospital,
Chankharpul General Hospital,
Arafat General Hospital & Diagnostic Center,
Vorta Vaji Restaurant,https://www.facebook.com/VortaVajiRestaurant/
Green House Restaurant,https://www.facebook.com/GreenHouseElephantRoad/
Yukee's,
KINNORI RESTAURANT,
Xinxian Restaurant,
Sung Garden,
Thirty3 Restaurant,https://www.facebook.com/Thirtyy3
মেট্রো ফুডস্,
Enjoy Restaurant,
Chandpur Super Shop,
Eva super shop,
SB Gift Shop-এস বি গিফট শপ,http://www.sbgiftbd.com/
Wonder Shop,https://www.wondershopbd.com/
Ibrahim Super Shop,
Smart Baby Shop Dhaka Bangladesh,http://smartbabyshop.com.bd/
A To Z Brand Shop,
Daily Shop Now,https://bestghee.shop/
Anwar Store,
Baby Shop,http://www.babyshoplive.com/
Jersey Shop BD,
Stunner mart,https://stunnermart.com/
Shop Shahidas,
Anaya's collection,
Mini Shop,
Sazobd Clothing Shop   সাজো বিডি,
NCC Bank ATM,
National Bank Limited,http://www.nblbd.com/
Dutch-Bangla Bank | Fast Track,
AB Bank Limited | ATM Booth,http://abbl.com/
City Agent Banking || সিটি এজেন্ট ব্যাংক,
Prime Bank Limited | ATM Booth,
City Bank ATM - Kallyanpur,https://www.thecitybank.com/home
First Security Islami Bank Limited | Ring Road Branch,http://www.fsiblbd.com/
Asian Development Bank (ADB),http://www.adb.org/countries/bangladesh/main
mutual trust bank limited,
Rupali Bank PLC,
United Commercial Bank (UCB) PLC,http://ucb.com.bd/
AB Bank Limited | ATM Booth,http://abbl.com/
Sonali Bank PLC  College Gate,
Dutch-Bangla Bank | ATM,
Bank Asia Limited | ATM Booth,http://www.bankasia-bd.com/
Social Islami Bank Limited | Shyamoli Branch,http://www.siblbd.com/
AB Bank Limited | ATM Booth,http://abbl.com/
Sonali Bank PLC,
Holy Family Red Crescent Medical College Hospital,http://www.hfrcmc.edu.bd/
PG Hospital Dhaka,
BMU  C block,https://bmu.ac.bd/
Unico Hospitals PLC,https://unicohospitals.com/
Grace Hospital Ltd,https://www.gracehospitalltd.com/
Islami Bank Central Hospital  Kakrail,
Monowara Hospital (Pvt.) Ltd.,https://monowarahospital.com/
BMU  D Block,https://bmu.ac.bd/
Dhanmondi Hospital (PVT) Ltd,
New Life Hospital Limited,
Liberty Hospital Ltd.,
Padma General Hospital,
LABAID Specialized Hospital,http://www.labaidgroup.com/specialized
Reliance General & Renal Hospital,
Laham Mandi,https://www.lahammandibd.com/
Mouri Restaurant,
Golden Chimney Restaurant,
Roz Hotel and Restaurant রোজ হোটেল,
FISH & CHIPS,
New Ashta Banjon Restaurant,
Olive Restaurant,
Nightingale Restaurant,
Euro Asiano Restaurant,
ইউরো গার্ডেন,
Alam Restaurant And Mini Chinese,
Chingri Chinese Restaurant,
Rupsha Restaurant,
Shopno Bunon Online Shop,https://www.facebook.com/shopnobunonbd/
Ramjan anterprice shop,
Asmi Shop Mohammadpur,http://asmishop.com/
Prince Clothing Shop,
Drewdrop online shop,
MAHAVIN SHOP,https://shop.mahavinbd.com/
বাবুই- A shop of happiness,
SHOP EASE,https://shopease.sellbd.shop/
Online Super Shop Bd,
Arif Liter shop,
Sheba online shop,
Wear Shop,
Happy Shop,
Aamar Shop,
Renew gift shop,
PG hospital Shahbag Dhaka University,
Aurora Specialized Hospital Ltd,https://www.aurora.hospital/
LABAID Cardiac Hospital,http://www.labaidgroup.com/cardiac
Times multicare hospital ltd,http://www.timesmhl.com/
Module General Hospital,
Green Life Hospital Ltd.,https://greenlifehospital.com.bd/
Dr. Muttalib Community Hospital And Park Laboratory,https://www.facebook.com/park.laboratory?mibextid=LQQJ4d
Panorama Hospital,
Green Life Medical College Hospital,http://greenlife.edu.bd/
Neuro Care and Research Foundation,https://www.sprcnh.com/
Ibrahim Cardiac Hospital & Research Institute,https://ibrahimcardiac.org.bd/
Homecare Hospital,
Bumrungrad International Hospital Bangkok Thailand,https://discoverims.com/
Bangabandhu Sheikh Mujib Medical University (PG HOSPITAL)  Cancer Bahban Block-F,
Times Multcare Hospital,
Holy Family Hospital Outdoor,
Saaol Heart Center (BD) Ltd.,http://saaol.com.bd/
Dr. Meherun Nessa Clinic,
বেতার,
London Espresso,https://www.foodpanda.com.bd/restaurant/ylx1/london-espresso
BruTown Cafe,https://www.facebook.com/BruTownCafe/?ref=bookmarks
Café Social at InterContinental Dhaka,http://www.intercontinental.com/dhaka
Vintage Bake & Cafe,https://www.facebook.com/vintagebakeandcafe/
Bismillah Cafe,
Kabita Café,https://www.facebook.com/kabitacafe/
গণগ্রন্থাগার অধিদপ্তর ক্যাফেটারিয়া,http://www.publiclibrary.gov.bd/
FED UP CAFE,http://fedupcoffee.com/
Tea20 Coffee Bar,
Drue Cafe,
TSC  BMU,https://youtube.com/@dr.mohammadsajibulislam4435?si=usEn6Fagwhniss4j
Second Cup Coffee,
Cafe de Dot,
Mayer Choya - Ad-Din Hospital Cafeteria MogBazar,
Cafe Shamabesh,
Awake Coffee Roasters at British Council,
Pacific Cafe,
The Cafe Hatirpool,
AB Cafe,
Refresh Cafe BD,
Sukrana Restaurant,
Sumaiya Restaurant,
Green Bangla Restaurant,
Vooter Adda Restaurant (Baily Road),https://www.facebook.com/profile.php?id=100083231415923
গ্রিল কিং,
Gawshia Restaurant & Mini Chinese,
Diamond Restaurant,
Kachari Bari Restaurant- কাচারী বাড়ি রেস্টুরেন্ট,
অরণী রান্নাঘর,https://aranirannaghor.com/
Chef Urbana Restaurant,
Rose Heaven Restaurant,
Raita Biryani & Kabab Restaurant,
Sugondha Restaurant,
Billal Hotel & Restaurant,
Niribily hotel and restaurant,
Storm In A Cup!,
Feast House Express,
Ghorowa Hotel & Restaurant,
Munni Hotel and Restaurant,
Islami Bank Bangladesh Limited | ATM,
Janata Bank PLC,
ABL Marketin Bank Limited,
Sonali Bank PLC,
Southeast Bank Limited | ATM Booth,https://www.southeastbank.com.bd/
Agrani Bank Limited,https://www.agranibank.org/
Southeast Bank Limited | ATM Booth,
NCC Bank- ATM,
City Bank ATM - Japan Garden City,http://www.thecitybank.com/
Dutch-Bangla Bank Limited (DBBL),
NCC Bank | ATM,http://www.nccbank.com.bd/
Sonali Bank PLC,
Southeast Bank ATM,
Agrani Bank Atm Booth,
IFIC Bank.Rd 11 Adabor.,
Social Islami Bank Limited | Mohammadpur Branch,
United Commercial Bank Limited | ATM Booth,http://www.ucb.com.bd/
অগ্রণী ব্যাংক পিএলসি  শেরেবাংলা কৃষি বিশ্ববিদ্যালয় শাখা ঢাকা,
Islami Bank Bangladesh Limited | ATM Booth,
Global Islami Bank। ATM Booth,
BSMMU Outdoor 1 (Medicine),http://www.bsmmu.edu.bd/
Taqwa Specialised Hospital,
Minerva Hospital Ltd.,
Super Specialized Hospital BMU,https://ssh.bmu.ac.bd/
Insight Psycho-social Care and Research,http://www.insight.com.bd/
Institute of Laser Surgery & Hospital Ltd.,
BSMMU water pump,
Medigo Healthcare,https://medigohealthcares.com/
BIRDEM library,
Padma Cameral Hospital & Diagonistic,
Bangkok Hospital Dhaka Office,https://www.thaimedics.com/
Vision Eye Hospital,http://visioneyebd.org/
DRiiMS Diagnostic  Infertility & Interventional Radiology Hospital,
P G Hospital Outdoor 2,https://bmu.ac.bd/
GATE NO-3  BANGLADESH MEDICAL UNIVERSITY,
Labwall Diagnostic Center,
COMFORT MEDICAL CHECKUP CENTER,
Bangla motor spkrc hospital,
Haji Shakhawat Anwara Eye Hospital,
Dermatologist,
R-Club,
Bijoy Ekattor Canteen,http://www.univdhaka.edu/
Burger On,
Mouli Restaurant,
Sonar Tori Hotel & Restaurant,
Bondhu Restora & Party Center,
Bismillah Restaurant,
Bismillah Hotel And Restaurant,
BAILY BAR B Q,
Muslim Kabab and Restaurant,
Noakhali Hotel And Restaurant,
রুচি রেস্তোরা এন্ড কাবাব,
Swadhika Restaurant,http://www.hotel71.com.bd/
Chaya Shawarma And Restaurant,
Dhaka Biriyani House & Restaurant,
Khwaja Hotel & Restaurant,
Haque Restaurant,
Aiyan Hotel & Restaurant,
Haque Restaurant & Biryani House,
Hotel Kaderia And Chistia Restaurant,
Joy Aquarium Centre (Pet Shop),
Fish Fash Organic Shop,
Mrinmoy Organic & Natural Shop,
Women dress shop,
Ogerio.com - online cosmetics shop in bangladesh,https://www.ogerio.com/
DifferentLook (jewelry and fashion shop),
Krishnopokho Online Shop (কৃষ্ণপক্ষ),https://www.facebook.com/krishnopokho
Blusher The Brand Shop,
MEW MEW SHOP BD (ADABOR),https://mewmewshopbd.com/
Alyssa Shop,
Pioneer Traders & Mobile Shop,
Imagine Online Shop,
SIS Shop,
Grameen Check,https://www.grameencheck.com/
Anupam Shop,
Emaarah Shop,
Bake Aromen,
Coffeelicious Coffée BailyRoad,http://facebook.com/Coffeelicious.Cafe/
Secret Recipe - Bailey Road Standard,https://secretrecipebd.com/
Mr. Cook Restaurant & Catering,
Crimson Cup Bailey Road,
Coffee & Cookie,
Duaree(দুয়ারী),
মটকা চা,
বিসমিল্লাহ ফাস্টফুড এন্ড জুসবার,
S.P.R.C Hospital,
Central Hospital Roof Top,
Bmu cabin block,
India gyet,
Sandhani Eye Hospital,
DPMC | Pain Management Centre- Prof AKM Akhtaruzzaman,http://dpmcbd.com/
Ashic Shelter,
Evergreen Health,http://evergreenhealthbd.net/
Green Life Hospital Nursing Institute,http://www.greenlife.edu.bd/page/info/b.sc.nursing
BMU Dental Faculty ~ Shahbagh,
Dhaka ramna,
Cancer hospital,
CARE WAVE,
HYGIENIC HEALTH CARE,
Snehaloy | স্নেহালয়,
Prof Dr Md Ehteshamul Hoque,https://drehtesham.com/
Pediatric Urology and DSD Center by Dr Nazrul Islam Akash,https://www.childhealthorganization.com/
Spectra AI Healthcare,http://spectraaihealthcarebd.unaux.com/
Genomics Healthcare,https://www.genomicshealthcarebd.com/
Al-Arafah Islami Bank | ATM,
Binky yt,
Islami Bank Bangladesh Limited | ATM Booth,
Maitry Savings and Credit Co Operative Society,
EBL ATM BOOTH,
BRAC Bank ATM Booth,
Islami Bank Bangladesh Limited | ATM Booth,
Agrani Bank PLC,
The Premier Bank PLC,
BASIC Bank Limited | ATM Booth,http://www.basicbanklimited.com/
Brac Bank-ATM,
AB Bank Limited | ATM Booth,http://www.abbl.com/
UCB ATM,
Brac bank ATM booth,
AB Bank Limited | ATM Booth,http://abbl.com/
United Commercial Bank Limited | ATM Booth,http://www.ucb.com.bd/
Trust Bank Limited ATM Booth,
Janata Bank ATM,https://www.jb.com.bd/
Jamuna Bank | ATM (Night & Day),
BRAC Bank Limited | ATM Booth,http://bracbank.com/
SYLHET HOTEL & RESTAURANT,
Shudha Restaurant,
Bismillah Hotel & Restaurant ~ Bangla Motor,
Fakruddin Restaurant Catering and Party Centre,
Broccoli Restaurant,
NEW AL-MADINA BIRIYANI & KABAB RESTAURANT,
Yummy Restaurant,
Sylvana Restaurant,
Cafe-Noor-A  Madina Khabar Hotel & Restaurant,
Ambrosia Restaurant & Music Cafe,
Coffee Corner Restaurant,
Maa-Babar Dua Hotel And Restaurant,
Hotel And Restaurant,
Chhayaneer Confectionery and Fast Food,
Happy Hour Restaurant,
Noor Alif Restaurant,
New Bhai Bhai Hotel And Restaurant,
New Popular Hotel & Restaurant,
Lovely Hotel and Restaurant,
Sadbari restaurant,
Sohel Tea Store,
Penoa Cafe,https://www.facebook.com/penoacafe
The Nahid cafe,
Coffee Buzz (কফি বাজ),
Alibaba Home Appliance's & Coffee Corner,
Best tea of BD(Selim mama’s tea),
দাওয়াতের আড্ডা ক্যাফে,
Cafe 18,
Waffle & Juice Bar,
Railwey dhaka,
Al-Amin Tea Store,
XYZ LAVA COFFE,https://dev-the-food-nest.pantheonsite.io/
পিওর জুস কর্নার,
Testy Food,
The Note Cafe,https://thenotecafe.com.bd/
Cafe Joyeeta,
Music shop guitar harmonium tikapara,
Romoni Shop,https://romoni.shop/
Gold shop prova jewllers,
REAJ SHOP,http://reajshop.com/
Bachelor Shop-02,
Watch Shop BD,
Asma & Lamia Toy Shop & Ladies Bag,
shonkhonil collection shop,
Promise Pharmacy and Easy Shop,
RK Online Shop,
Chandni Fast Food & Coffee Shop,
Toy Shop Bangladesh,https://www.toyshop.com.bd/
Doctor Shop BD,https://doctorshopbd.com/
JE shop,https://jeshop.com.bd/
Cat Club Pet Shop,
Sure to shop-fashion,
Bachelor Shop,
Diabetes Sochetonota Supar Shop,
Daamkom24- Baby Shop & Cosmetics.,
Gawsia Restaurant and Mini Chinese,
Al-Muslim Restaurant & Biryani House,
Masum Hotel And Restaurant,
Bhojanshala restaurant and Biriyani House,
Taste Town Restaurant,
Cafe Barisal Hotel & Restaurant,
Autograph Restaurant,
Sumon Hotel and Restaurant,
GANGESH HOTEL FOOD & RESTAURANT,
MasterChef 4 Restaurant 15.Cordova Scarlet 2th Floor  upto pubali Bank (Opposite of Karnaphuli Garden City Shopping Mall),
New Genjes Food And Restaurant,
AB Bank Limited | ATM Booth,
Jamuna Bank Limited | ATM Booth,http://jamunabankbd.com/
Trust Bank Limited ATM,https://www.tblbd.com/
Jamuna Bank Limited | ATM Booth,http://jamunabankbd.com/
Social Islami Bank Limited । ATM Booth,
Lal-Shobuj Small Traders Cooperative Society Ltd:,
United Commercial Bank ATM Booth,
INTERNATIONAL TRADING LTD.,
Dr. Shirajul Islam medical college & Hospital cafeteria,
নূরানী জুস বার,
Sham's Studio,
বশির টি স্টল,
Cafe Ahnaf Coffee And Juice House,
With Swapno,
Ladies Common room,
Tayeb Cafe,
Fariya Bosro Bitan,
Pizza garden,
Pizza garden,
yummy Cafe,
Temporary tea stalls,
Gach tola,
Bhai Bhai Tea Stor,
Zakir Tea Stall and Departmental Store,
Liton Tea stall,
Rakib's tea stall,
Boost Cafe,
ACTUAL ONLINE SHOP,
M&J Online Shop,
baby care happy shop,
Fire Paan Shop,
Shop Everything,
Happy you shop,https://www.facebook.com/happyoushop/
Bikers Shop,
Vivo official Company shop,
Angels Beauty Shop BD,
Baby shop,
vivo authorized brand shop- SM TRADING,http://www.vivo.com/bd
Tecno Brand Shop (Tokyo Square),http://officialphonebd.com/
TIME Genuine (A Luxury Watch Shop),
Pet shop  Animal lover's,
হাওলাদার লেডিস ক্লথ শপ | Ladies Cloth Shop,
BUBT Tea & Coffee Shop,
Pure food shop,
Curtain shop,
Master Pet shop,
Race Flame | Mobile phone Shop,https://raceflame.com/
The Broadway Cafe,
My mobile Shop,
Huawei Authorized Experience Shop-FM Telecom(HES),
Nehan-Adiba Tyre & Battery Shop,
Rony's Cakes shop,
Mayer Doya Vulcanizing & Battery Shop,
Baba Ma Battery Tyre Shop,
Rahim Ice-cream Shop,
IT Q Solutions,http://www.it-q-solutions.com/
IT Bangla Ltd,http://www.itbangla.org/
Astha IT,https://www.asthait.com/
Future IT,http://www.edufutureit.com/
FK IT INSTITUTE,
Raise IT Solutions,http://raiseitsolutions.com/
The Mum It,
Egeco Soft IT Institute,
Newtech IT Training Center (NITC) – IT Hardware Training & Servicing,https://www.nitcbd.com/
WAN IT Ltd.,http://wanitltd.com/
Steviana IT,http://stevianait.com/
IT Hive,https://ithivebd.com/
Mentors-IT Academy,https://www.mentorsitacademy.com/
আমার আইটি,
RB IT INSTITUTE,
Canvas IT,https://canvasitbd.com/
ওয়ান আইটি,https://oneit.com.bd/
CITY IT,
Fix-It,
IT Services,https://its.com.bd/
Dear IT Solution,http://www.dearit.com.bd/
IT Point,http://www.itpointdhaka.com/
EASTERN IT (Corporate Office),https://eit.com.bd/
ISB - IT SOLUTION BD,
I.T Access,https://www.itaccess.com.bd/
Fast IT,https://www.facebook.com/share/1ATb4dAzJt/
President IT & Engineering,https://www.presidentit.com.bd/
Aftab IT Limited,http://www.aitlbd.com/
Dhaka IT Zone,http://www.facebook.com/dhakaitzone/
PROMINENT IT,http://www.facebook.com/prominentbd
IT-PLACE BD,https://itplacebd.com/
Thanvi IT Park,http://thanviit.blogspot.com/
Times Shop.XYZ,http://timesshop.xyz/
Big Bazar Super Shop,